time,ax,ay,az,atotal
0.0073719024658203125,-0.25,-0.25,-0.44,0.56
0.015600204467773438,-0.2,-0.16,-0.35,0.43
0.025290966033935547,0.0,-0.16,0.14,0.21
0.03749418258666992,0.11,0.01,0.39,0.4
0.04530906677246094,0.06,-0.04,0.29,0.29
0.05529308319091797,0.04,-0.13,-0.03,0.13
0.06518101692199707,0.12,-0.03,-0.27,0.29
0.0750589370727539,0.3,0.15,-0.31,0.45
0.08751201629638672,0.58,0.24,0.24,0.67
0.09502696990966797,0.78,0.35,0.57,1.02
0.10484504699707031,0.58,0.47,0.94,1.2
0.11465597152709961,0.36,0.34,1.18,1.27
0.1249229907989502,0.16,0.03,1.17,1.18
0.1370248794555664,-0.08,-0.14,0.68,0.69
0.1448068618774414,0.02,0.08,-0.09,0.12
0.15506219863891602,0.44,0.4,0.11,0.6
0.16447114944458008,0.59,0.53,0.84,1.15
0.17458605766296387,0.79,0.54,1.46,1.74
0.18683600425720215,0.83,0.2,2.15,2.31
0.19462203979492188,0.57,0.08,2.8,2.85
0.20517396926879883,0.13,0.62,2.87,2.93
0.21423816680908203,-0.44,0.86,2.31,2.5
0.22427988052368164,0.91,0.28,0.04,0.95
0.23617792129516602,1.13,0.44,-2.54,2.81
0.24427509307861328,0.68,-0.32,-2.67,2.77
0.25523900985717773,0.18,-0.51,-1.98,2.05
0.2638070583343506,0.12,-0.3,-1.35,1.38
0.2738828659057617,0.2,-0.43,-0.92,1.03
0.28632307052612305,0.37,-0.46,-0.98,1.14
0.2939910888671875,0.4,-0.41,-1.22,1.34
0.3052070140838623,0.27,-0.45,-0.86,1.0
0.3138132095336914,0.34,-0.41,-0.95,1.08
0.32385706901550293,0.32,-0.38,-1.21,1.3
0.3358879089355469,0.18,-0.6,-1.45,1.57
0.3437929153442383,-0.07,-0.67,-1.2,1.37
0.35555410385131836,-0.32,-0.49,-0.74,0.94
0.36379098892211914,-0.71,-0.3,-0.61,0.98
0.373553991317749,-1.48,-0.04,-0.3,1.51
0.3862760066986084,-1.88,0.06,0.28,1.9
0.3937339782714844,-1.34,0.21,0.75,1.54
0.40587520599365234,-0.39,0.16,0.48,0.63
0.41334009170532227,0.41,0.14,0.05,0.43
0.42354798316955566,0.74,0.29,-0.34,0.86
0.4358391761779785,0.54,0.16,-0.55,0.78
0.4435758590698242,0.52,0.25,-0.5,0.76
0.45599889755249023,0.84,0.29,-0.28,0.93
0.4630851745605469,0.59,-0.28,-0.35,0.74
0.47324204444885254,-0.35,-0.89,-0.11,0.96
0.48540210723876953,0.01,-0.39,-0.11,0.4
0.4930601119995117,0.37,0.18,-0.22,0.46
0.5058531761169434,0.09,0.34,-0.12,0.37
0.512965202331543,0.2,0.44,0.24,0.53
0.5230710506439209,0.29,0.64,0.46,0.83
0.5350780487060547,0.18,0.59,0.46,0.76
0.5429439544677734,0.36,0.39,0.08,0.53
0.5559711456298828,0.48,-0.23,-0.62,0.81
0.562650203704834,0.49,-0.23,-1.15,1.27
0.5727381706237793,0.48,-0.02,-1.04,1.14
0.5857081413269043,0.24,-0.19,-0.79,0.84
0.5924439430236816,0.0,-0.06,-1.12,1.12
0.6055068969726562,-0.12,-0.24,-1.09,1.12
0.6125030517578125,-0.32,-0.55,-0.78,1.0
0.6225299835205078,-0.24,-0.32,-0.94,1.02
0.6349539756774902,0.06,-0.11,-0.98,0.98
0.6426329612731934,0.56,0.23,-0.66,0.89
0.6552820205688477,0.58,0.14,-0.07,0.6
0.6620650291442871,0.2,-0.08,0.34,0.4
0.6718859672546387,-0.31,0.04,0.33,0.45
0.6843781471252441,-0.66,0.44,-0.03,0.79
0.6917581558227539,-0.68,0.33,-0.04,0.75
0.7047848701477051,-0.98,-0.16,-0.29,1.03
0.711785078048706,-1.35,-0.38,-0.3,1.43
