time,ax,ay,az,atotal
0.010319232940673828,0.06,0.08,-0.23,0.25
0.020885944366455078,0.0,0.04,-0.02,0.04
0.029489994049072266,-0.3,-0.08,-0.68,0.74
0.03766918182373047,-0.2,0.0,-0.85,0.87
0.04682803153991699,0.12,0.06,-0.03,0.13
0.05994009971618652,0.07,0.02,0.41,0.41
0.07027006149291992,-0.07,-0.01,0.04,0.08
0.07865309715270996,0.01,0.04,-0.28,0.28
0.08745718002319336,0.05,0.05,-0.28,0.28
0.09599804878234863,-0.05,0.03,-0.33,0.33
0.10907411575317383,-0.03,0.05,-0.56,0.56
0.11956024169921875,0.11,0.14,-0.7,0.72
0.12764501571655273,0.11,0.08,0.0,0.13
0.1349780559539795,-0.04,0.0,0.25,0.25
0.1441049575805664,-0.08,-0.07,0.69,0.69
0.1571049690246582,-0.07,-0.09,0.65,0.65
0.1674180030822754,0.19,0.07,-0.31,0.37
0.17593812942504883,-0.01,0.08,0.23,0.24
0.18478608131408691,-0.22,-0.07,0.72,0.75
0.1939561367034912,0.07,0.05,-0.22,0.23
0.20697808265686035,0.09,0.05,-0.06,0.11
0.21700811386108398,-0.18,-0.05,-0.3,0.35
0.22552824020385742,-0.1,-0.01,-0.1,0.14
0.23372507095336914,0.2,0.1,0.04,0.22
0.24280118942260742,0.1,0.06,-0.04,0.12
0.25600194931030273,-0.14,-0.03,-0.19,0.23
0.2659571170806885,-0.05,0.02,-0.27,0.27
0.27481508255004883,0.05,0.05,-0.33,0.33
0.28322792053222656,-0.03,0.03,-0.42,0.42
0.2968940734863281,-0.07,0.02,-0.46,0.46
0.305941104888916,-0.09,-0.03,0.13,0.16
0.3160710334777832,-0.01,0.02,-0.06,0.06
0.32505321502685547,0.03,0.01,0.24,0.24
0.33249711990356445,0.11,0.05,0.24,0.26
0.3451230525970459,0.12,0.04,0.33,0.35
0.35387516021728516,0.0,-0.02,0.32,0.32
0.36390113830566406,-0.01,-0.02,0.26,0.26
0.3722960948944092,0.05,-0.01,0.31,0.31
0.3814072608947754,-0.02,-0.01,0.14,0.14
0.39464426040649414,0.02,0.04,0.24,0.24
0.40344905853271484,0.14,0.04,-0.03,0.14
0.41312217712402344,0.11,0.01,0.22,0.24
0.4219820499420166,-0.01,-0.04,-0.16,0.16
0.43073320388793945,0.11,0.02,-0.25,0.27
0.44399499893188477,0.06,0.02,-0.31,0.31
0.4520440101623535,-0.17,-0.04,-0.44,0.47
0.4620699882507324,-0.27,-0.1,-0.15,0.32
0.47091197967529297,-0.2,-0.11,0.07,0.23
0.48099422454833984,-0.03,-0.03,-0.21,0.21
0.4947490692138672,0.02,0.01,0.02,0.03
0.5036501884460449,0.04,0.02,0.27,0.27
0.5133631229400635,0.07,0.02,0.16,0.17
0.5212979316711426,0.06,-0.02,0.2,0.2
0.5300970077514648,-0.12,-0.07,0.07,0.15
0.5437641143798828,-0.18,-0.09,0.0,0.2
0.5526530742645264,0.0,-0.03,0.36,0.36
0.5627541542053223,0.17,0.02,0.46,0.49
0.5715110301971436,0.0,-0.04,0.43,0.43
0.5803332328796387,-0.14,-0.1,0.54,0.56
0.5934710502624512,0.1,-0.07,0.3,0.32
0.602269172668457,-0.04,-0.14,0.44,0.46
0.6124041080474854,-0.1,-0.12,0.39,0.42
0.6211400032043457,0.17,-0.01,-0.95,0.96
0.6296420097351074,0.51,0.14,-1.69,1.77
0.6434741020202637,0.5,0.18,-1.54,1.62
0.651860237121582,0.1,0.05,-1.06,1.06
0.6618862152099609,-0.17,-0.07,-0.52,0.55
0.670997142791748,-0.31,-0.17,-0.4,0.53
0.6799440383911133,-0.13,-0.05,-1.21,1.21
0.6937150955200195,0.3,0.17,-1.85,1.88
0.7021422386169434,0.41,0.25,-1.27,1.35
0.7120909690856934,0.06,0.09,-0.55,0.56
0.7210240364074707,-0.18,-0.05,-0.02,0.18
0.7291021347045898,-0.34,-0.1,-0.24,0.42
0.7428312301635742,-0.43,-0.15,-0.27,0.52
0.7516951560974121,-0.02,0.02,0.07,0.07
0.7616171836853027,0.38,0.15,1.17,1.23
0.770362138748169,0.26,0.12,1.79,1.81
0.7793469429016113,-0.01,-0.01,1.16,1.16
0.7932860851287842,-0.12,-0.08,0.0,0.14
0.8020682334899902,-0.24,-0.08,-0.04,0.25
0.8112261295318604,-0.2,-0.09,0.28,0.35
0.8197910785675049,-0.1,-0.06,0.08,0.14
0.828545093536377,-0.26,-0.14,-0.16,0.33
0.842703104019165,-0.13,-0.07,-0.12,0.19
0.8517301082611084,0.25,0.09,-0.03,0.26
0.8620619773864746,0.5,0.19,0.07,0.53
0.8709611892700195,0.39,0.11,0.07,0.41
0.8789529800415039,0.04,-0.05,-0.17,0.18
0.8928589820861816,-0.17,-0.05,-1.46,1.47
0.9014401435852051,-0.33,-0.18,0.46,0.59
0.9116082191467285,-0.59,-0.2,0.23,0.66
0.9205870628356934,-0.04,-0.01,0.08,0.09
0.9280409812927246,0.33,0.08,0.41,0.53
0.941601037979126,0.36,0.1,0.1,0.38
0.9504680633544922,0.33,0.06,-0.1,0.35
0.9605250358581543,0.14,-0.02,-0.08,0.16
