time,ax,ay,az,atotal
0.004276752471923828,0.03,0.06,0.15,0.16
0.01399087905883789,0.02,0.04,0.06,0.07
0.024677753448486328,0.01,0.02,-0.11,0.11
0.03418993949890137,-0.02,0.03,-0.42,0.42
0.044078826904296875,-0.01,0.05,-0.46,0.46
0.05391979217529297,0.0,0.07,-0.37,0.37
0.06363677978515625,0.0,0.06,-0.07,0.09
0.07428693771362305,0.0,0.03,-0.06,0.06
0.0838937759399414,-0.01,0.02,-0.07,0.07
0.09364604949951172,0.02,0.03,0.19,0.19
0.10324907302856445,0.02,0.05,0.19,0.19
0.11353302001953125,0.02,0.06,0.1,0.11
0.124176025390625,-0.01,0.05,-0.01,0.05
0.13368487358093262,0.02,0.03,-0.07,0.07
0.14355802536010742,-0.01,0.02,-0.3,0.3
0.15336894989013672,0.0,0.04,-0.21,0.21
0.16330885887145996,0.02,0.06,-0.02,0.06
0.1738269329071045,0.0,0.05,-0.11,0.12
0.18307876586914062,-0.01,0.06,-0.13,0.14
0.19287681579589844,-0.01,0.03,-0.03,0.04
0.2029709815979004,0.0,0.04,0.15,0.15
0.21283578872680664,0.02,0.06,0.13,0.14
0.2236008644104004,0.01,0.04,-0.01,0.04
0.2328348159790039,0.0,0.05,-0.2,0.2
0.24299097061157227,0.0,0.05,-0.33,0.33
0.2527017593383789,-0.01,0.03,-0.31,0.31
0.2626338005065918,0.01,0.04,0.02,0.04
0.273270845413208,0.03,0.05,0.12,0.13
0.28252077102661133,0.01,0.05,0.14,0.14
0.2924990653991699,0.01,0.04,0.06,0.07
0.30246782302856445,0.02,0.05,-0.06,0.08
0.31242895126342773,0.03,0.05,-0.05,0.07
0.3231189250946045,0.01,0.04,-0.16,0.16
0.3324239253997803,0.02,0.06,-0.26,0.26
0.3425018787384033,0.0,0.06,-0.16,0.17
0.35228586196899414,-0.01,0.02,-0.02,0.03
0.3620920181274414,-0.01,0.05,0.01,0.05
0.37275075912475586,0.0,0.06,0.11,0.12
0.38204002380371094,0.02,0.05,0.08,0.09
0.3919978141784668,0.01,0.06,-0.03,0.06
0.4019639492034912,0.01,0.07,-0.14,0.15
0.4118199348449707,0.03,0.02,-0.11,0.11
0.42249488830566406,0.02,0.03,-0.06,0.06
0.4317469596862793,0.02,0.05,-0.09,0.1
0.44197893142700195,0.0,0.02,-0.13,0.13
0.4515879154205322,-0.02,0.04,-0.32,0.32
0.4615509510040283,0.0,0.04,-0.31,0.31
0.47216796875,0.01,0.05,-0.06,0.07
0.4814169406890869,0.01,0.07,0.15,0.16
0.49144887924194336,0.02,0.04,0.12,0.12
0.5011987686157227,0.01,0.04,-0.02,0.04
0.5112800598144531,0.01,0.03,-0.08,0.08
0.5219917297363281,0.02,0.04,0.03,0.05
0.5312678813934326,0.0,0.03,-0.04,0.05
0.5414237976074219,-0.01,0.05,-0.22,0.22
0.5508689880371094,-0.01,0.05,-0.23,0.23
0.5610060691833496,0.0,0.05,-0.18,0.18
0.5716547966003418,0.01,0.06,-0.12,0.13
0.5810260772705078,0.0,0.06,-0.06,0.08
0.5909008979797363,0.0,0.03,-0.07,0.07
0.6007988452911377,0.02,0.03,-0.05,0.06
0.6107850074768066,0.03,0.03,-0.01,0.04
0.621370792388916,0.02,0.05,0.05,0.07
0.6306147575378418,0.02,0.05,0.09,0.1
0.6408638954162598,0.03,0.06,0.06,0.09
0.6509027481079102,-0.01,0.05,-0.16,0.16
0.6606087684631348,-0.02,0.04,-0.32,0.32
0.6710789203643799,0.0,0.03,-0.25,0.25
0.680325984954834,0.0,0.03,-0.05,0.05
0.6903278827667236,0.0,0.03,0.03,0.04
0.7005929946899414,-0.01,0.04,0.01,0.04
0.7102417945861816,-0.01,0.04,-0.09,0.09
0.720775842666626,-0.02,0.04,-0.21,0.21
0.7300949096679688,-0.01,0.05,-0.25,0.25
0.740264892578125,-0.01,0.04,-0.14,0.14
0.7503879070281982,0.01,0.03,0.0,0.03
0.7599649429321289,0.03,0.04,0.17,0.17
0.770503044128418,0.05,0.04,0.21,0.21
0.7798399925231934,0.03,0.04,0.07,0.08
0.7896778583526611,0.0,0.04,-0.18,0.18
0.7997250556945801,-0.01,0.05,-0.36,0.36
0.8096768856048584,-0.02,0.05,-0.38,0.38
0.8202469348907471,-0.02,0.05,-0.28,0.28
0.8296079635620117,-0.01,0.03,-0.1,0.1
0.8397660255432129,0.0,0.04,0.02,0.04
0.8494610786437988,0.02,0.05,0.08,0.09
0.8594379425048828,-0.01,0.05,0.14,0.14
0.8699839115142822,0.01,0.03,0.08,0.08
0.8792567253112793,0.02,0.03,0.01,0.03
0.8891868591308594,0.02,0.06,-0.01,0.06
0.8991470336914062,0.01,0.07,-0.11,0.13
0.9090728759765625,-0.01,0.06,-0.23,0.23
0.9197258949279785,-0.01,0.04,-0.31,0.31
0.9289827346801758,0.0,0.04,-0.2,0.2
0.9392008781433105,0.01,0.05,-0.04,0.06
0.9488019943237305,0.01,0.05,0.09,0.1
0.9588780403137207,0.01,0.03,0.1,0.1
0.969512939453125,0.01,0.05,0.02,0.05
0.9787750244140625,0.01,0.04,-0.07,0.08
0.9886980056762695,0.01,0.05,-0.14,0.14
0.9986588954925537,0.01,0.05,-0.19,0.19
1.0086498260498047,-0.01,0.04,-0.19,0.19
1.0192980766296387,0.0,0.04,-0.05,0.06
1.028696060180664,0.01,0.04,-0.04,0.05
1.0387258529663086,-0.01,0.04,-0.17,0.17
1.048677921295166,-0.03,0.04,-0.25,0.25
1.058520793914795,-0.01,0.06,-0.15,0.16
1.0690369606018066,0.01,0.04,0.02,0.04
1.0783448219299316,0.02,0.04,0.18,0.18
1.0883288383483887,0.03,0.04,0.16,0.16
1.098282814025879,0.0,0.02,0.03,0.03
1.1081390380859375,0.02,0.03,-0.15,0.15
1.1186459064483643,0.01,0.05,-0.18,0.18
