time,ax,ay,az,atotal
0.004051923751831055,0.09,0.01,0.01,0.09
0.014307022094726562,0.11,0.01,-0.12,0.16
0.023845911026000977,0.06,-0.01,-0.24,0.24
0.035507917404174805,0.04,-0.03,-0.26,0.26
0.04612088203430176,0.1,0.02,-0.16,0.18
0.05282402038574219,0.09,0.03,-0.08,0.12
0.06438779830932617,0.07,-0.02,-0.03,0.07
0.07412886619567871,0.09,0.02,0.0,0.09
0.08475685119628906,0.1,0.03,-0.07,0.12
0.09575796127319336,0.09,0.0,-0.2,0.21
0.10248184204101562,0.09,0.06,-0.25,0.27
0.11400270462036133,0.09,0.03,-0.26,0.27
0.12336182594299316,0.09,0.01,-0.09,0.12
0.13465404510498047,0.08,0.01,-0.07,0.1
0.14538288116455078,0.06,-0.03,0.04,0.07
0.15259981155395508,0.06,-0.02,0.02,0.06
0.1635608673095703,0.07,-0.02,-0.07,0.1
0.17303895950317383,0.07,-0.02,0.03,0.07
0.18407082557678223,0.08,0.0,-0.1,0.12
0.19523096084594727,0.09,0.03,-0.14,0.16
0.20255088806152344,0.11,0.03,-0.01,0.11
0.21350789070129395,0.09,0.0,0.0,0.09
0.2233579158782959,0.08,0.0,-0.19,0.2
0.2344348430633545,0.12,0.05,-0.29,0.31
0.24497485160827637,0.09,0.0,-0.12,0.15
0.25231170654296875,0.05,-0.04,0.05,0.08
0.263185977935791,0.06,-0.01,0.1,0.11
0.2735438346862793,0.1,0.01,-0.02,0.1
0.2831120491027832,0.07,0.01,-0.19,0.2
0.2946510314941406,0.09,0.04,-0.24,0.25
0.30203890800476074,0.08,0.0,-0.16,0.17
0.31293487548828125,0.11,0.04,-0.19,0.22
0.32362794876098633,0.1,0.03,-0.13,0.16
0.33380699157714844,0.07,-0.02,-0.06,0.09
0.34444689750671387,0.08,0.03,-0.1,0.13
0.3517138957977295,0.06,0.0,-0.09,0.1
0.3625197410583496,0.08,0.02,-0.15,0.17
0.3734407424926758,0.08,-0.02,-0.19,0.2
0.38279104232788086,0.07,-0.01,-0.11,0.13
0.39395785331726074,0.08,-0.01,0.06,0.1
0.40123581886291504,0.09,-0.01,0.16,0.18
0.41254591941833496,0.08,0.02,0.08,0.11
0.42340898513793945,0.08,0.0,-0.04,0.08
0.4330630302429199,0.09,0.03,-0.13,0.16
0.44397592544555664,0.1,0.04,-0.27,0.29
0.4514327049255371,0.08,-0.01,-0.23,0.24
0.46242785453796387,0.07,0.01,-0.11,0.13
0.4736967086791992,0.09,0.0,0.02,0.09
0.48238182067871094,0.11,0.02,0.03,0.11
0.4935448169708252,0.11,0.03,-0.05,0.12
0.500971794128418,0.07,-0.01,-0.11,0.13
0.5118017196655273,0.08,0.01,-0.11,0.13
0.5237469673156738,0.09,0.0,-0.16,0.18
0.5322818756103516,0.09,0.01,-0.21,0.22
0.5431399345397949,0.08,0.03,-0.21,0.22
0.5507717132568359,0.06,0.01,-0.16,0.17
0.5616660118103027,0.07,0.02,-0.08,0.1
0.5732970237731934,0.1,0.06,0.0,0.11
0.5815119743347168,0.07,0.02,-0.07,0.1
0.592991828918457,0.08,0.02,-0.09,0.12
0.6003189086914062,0.09,0.02,-0.1,0.13
0.6113667488098145,0.1,0.01,-0.07,0.12
0.6233067512512207,0.08,0.0,-0.06,0.1
0.6313698291778564,0.08,-0.01,-0.06,0.1
0.6426939964294434,0.08,0.0,-0.1,0.12
0.6499278545379639,0.07,-0.01,-0.12,0.13
0.6634650230407715,0.06,-0.01,-0.11,0.12
0.6702828407287598,0.08,0.01,-0.11,0.13
0.6806907653808594,0.08,-0.01,-0.11,0.13
0.6925597190856934,0.09,0.03,-0.16,0.18
0.6995339393615723,0.1,0.04,-0.18,0.2
0.7134058475494385,0.1,0.02,-0.11,0.15
0.7201888561248779,0.08,0.01,-0.08,0.11
0.7316269874572754,0.07,0.0,-0.12,0.13
0.7424159049987793,0.08,0.01,-0.16,0.17
0.7494428157806396,0.05,0.0,-0.13,0.13
0.7629737854003906,0.05,-0.03,-0.03,0.06
0.7698929309844971,0.05,-0.03,0.07,0.09
0.7808248996734619,0.11,0.03,0.1,0.15
0.7916638851165771,0.11,0.03,0.03,0.11
0.799170970916748,0.04,-0.05,-0.02,0.06
0.8129549026489258,0.09,0.0,0.0,0.09
0.8201279640197754,0.12,0.04,0.06,0.13
0.8309550285339355,0.08,0.0,-0.05,0.09
0.8418638706207275,0.1,0.02,-0.25,0.27
0.8486089706420898,0.07,0.02,-0.3,0.3
0.8622560501098633,0.06,-0.01,-0.18,0.19
0.8699979782104492,0.09,0.01,-0.06,0.1
0.8805890083312988,0.08,-0.02,-0.02,0.08
0.8913249969482422,0.08,0.0,0.02,0.08
0.8983407020568848,0.08,-0.01,0.01,0.08
0.9124739170074463,0.07,0.0,-0.1,0.12
0.9196538925170898,0.1,0.04,-0.18,0.2
0.9303789138793945,0.1,0.02,-0.21,0.23
0.9412078857421875,0.07,0.03,-0.03,0.08
0.9481978416442871,0.07,-0.01,0.07,0.09
0.9622058868408203,0.07,-0.04,0.06,0.1
0.9694108963012695,0.09,0.03,-0.07,0.11
0.9796168804168701,0.07,0.03,-0.17,0.18
0.9912309646606445,0.01,0.43,-0.31,0.53
0.9980697631835938,0.24,0.4,-0.28,0.54
1.0123610496520996,0.05,-0.29,-0.15,0.33
1.0191717147827148,0.06,-0.43,-0.04,0.43
1.029810905456543,0.04,-0.13,-0.11,0.17
1.0407319068908691,0.14,0.13,-0.21,0.28
1.047879695892334,0.12,0.03,-0.2,0.23
1.0623888969421387,0.04,-0.02,-0.15,0.15
1.0689077377319336,0.07,0.0,-0.02,0.07
1.0792908668518066,0.09,-0.03,0.03,0.09
1.0901918411254883,0.09,-0.02,-0.01,0.09
1.0973377227783203,0.06,-0.02,-0.04,0.07
1.1108570098876953,0.07,0.0,-0.12,0.13
1.1185927391052246,0.09,0.02,-0.13,0.15
1.1294739246368408,0.08,0.01,-0.14,0.16
1.1401309967041016,0.08,-0.01,-0.17,0.18
1.1474037170410156,0.05,0.0,-0.13,0.13
1.1611027717590332,0.08,0.0,-0.03,0.08
1.1682119369506836,0.09,0.01,0.0,0.09
1.1786799430847168,0.09,0.02,-0.08,0.12
1.1901707649230957,0.12,0.06,-0.11,0.17
1.1970558166503906,0.1,0.03,-0.12,0.15
1.2107267379760742,0.06,-0.03,-0.12,0.13
1.2180399894714355,0.07,-0.02,-0.1,0.12
1.2289199829101562,0.06,-0.03,-0.08,0.1
1.23978590965271,0.1,0.01,-0.07,0.12
1.246654987335205,0.1,0.02,-0.1,0.14
1.2609829902648926,0.06,0.01,-0.2,0.2
1.2678828239440918,0.08,0.03,-0.24,0.25
1.2782049179077148,0.06,0.0,-0.18,0.18
1.289261817932129,0.07,0.0,-0.1,0.12
1.2964229583740234,0.12,0.04,-0.04,0.13
1.3102288246154785,0.08,0.0,-0.11,0.13
1.3176908493041992,0.07,0.02,-0.12,0.14
1.3281807899475098,0.07,0.01,-0.11,0.13
1.339216709136963,0.05,-0.02,-0.08,0.09
1.3462300300598145,0.05,-0.01,-0.02,0.05
